#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
-105.0,13,0.455679
-95.0,12,0.457373
-85.0,11,0.458895
-100.0,11,0.460393
-165.0,83,0.47134
30.0,17,0.473605
-420.0,94,0.485904
-300.0,82,0.496635
-590.0,147,0.515957
-315.0,85,0.527403
-285.0,34,0.531892
-120.0,16,0.534023
-25.0,9,0.535248
-220.0,41,0.540603
-20.0,13,0.542349
-75.0,7,0.543294
30.0,5,0.543987
-395.0,63,0.552225
35.0,6,0.553052
0.0,11,0.554523
-405.0,79,0.56478
-245.0,91,0.576618
10.0,7,0.577571
-165.0,31,0.58163
-235.0,59,0.589319
-495.0,148,0.608481
-110.0,15,0.610457
-80.0,6,0.611261
-5.0,16,0.613372
-255.0,34,0.617825
-540.0,118,0.633111
-85.0,5,0.633792
5.0,12,0.635387
-95.0,6,0.636205
-10.0,21,0.638966
-385.0,116,0.653992
-380.0,105,0.667534
-125.0,15,0.669491
-100.0,14,0.671319
-95.0,9,0.67251
175.0,44,0.678242
-80.0,6,0.679053
-230.0,27,0.68255
-5.0,7,0.683497
-215.0,42,0.688963
-75.0,4,0.689514
-155.0,24,0.692642
-210.0,113,0.707263
5.0,6,0.708088
-110.0,18,0.710453
-105.0,10,0.711778
-105.0,71,0.720979
-295.0,65,1.088242
-145.0,14,1.090867
-80.0,6,1.091772
-25.0,18,1.094665
10.0,10,1.096326
-90.0,10,1.098776
-195.0,25,1.117281
-95.0,9,1.121107
-140.0,18,1.130768
-120.0,10,1.138402
5.0,6,1.141506
5.0,6,1.143227
-250.0,59,1.165862
-150.0,13,1.16814
-95.0,15,1.170422
-200.0,54,1.182082
-85.0,5,1.182878
-300.0,82,1.203224
-310.0,38,1.208984
-255.0,67,1.220298
-65.0,28,1.224846
-125.0,21,1.228886
-40.0,24,1.23282
5.0,6,1.233763
-170.0,39,1.240462
-345.0,82,1.254785
-655.0,200,1.286177
-90.0,7,1.287241
-240.0,43,1.293535
-375.0,58,1.305767
-420.0,91,1.319128
-355.0,50,1.326408
-85.0,11,1.328081
-85.0,8,1.329274
-90.0,10,1.331016
-125.0,12,1.332792
-100.0,8,1.333962
-110.0,9,1.335255
-105.0,13,1.337102
-165.0,37,1.342258
-155.0,18,1.344796
35.0,6,1.345839
15.0,5,1.346597
-265.0,62,1.359825
-80.0,6,1.360752
-360.0,97,1.374992
-95.0,9,1.376368
-115.0,11,1.377983
-180.0,22,1.381131
20.0,12,1.382893
-275.0,42,1.388897
-150.0,25,1.392406
-260.0,63,1.401306
-70.0,5,1.40205
-80.0,6,1.402903
-40.0,24,1.406196
-85.0,8,1.407298
-75.0,4,1.40788
-95.0,9,1.409123
-20.0,16,1.411333
5.0,12,1.413158
-45.0,26,1.418276
-155.0,27,1.422507
-290.0,33,1.428026
-355.0,74,1.439382
-15.0,11,1.441042
-135.0,25,1.444546
-75.0,7,1.445564
-100.0,8,1.446686
-470.0,105,1.801787
-155.0,91,1.814166
-230.0,33,1.818601
-125.0,18,1.821026
0.0,8,1.822148
-110.0,9,1.82338
-300.0,43,1.829133
-90.0,10,1.830493
-110.0,15,1.832533
-20.0,22,1.835511
-95.0,6,1.83635
20.0,27,1.839985
-90.0,10,1.841357
-70.0,5,1.842057
-140.0,64,1.850575
-135.0,19,1.85313
5.0,6,1.853976
-200.0,21,1.856792
-20.0,22,1.859753
15.0,5,1.860462
5.0,9,1.861704
-95.0,6,1.862534
-260.0,54,1.870325
