#{"t_start": 1742500250.084337, "env_id": "None"}
r,l,t
-105.0,13,0.665543
-95.0,12,0.668035
-85.0,11,0.670231
-100.0,11,0.672081
-165.0,83,0.693557
30.0,17,0.695991
-420.0,94,0.710615
-300.0,82,0.722407
-590.0,147,0.744287
-315.0,85,0.756765
-285.0,34,0.761549
-120.0,16,0.763792
-25.0,9,0.765113
-220.0,41,0.770927
-20.0,13,0.77277
-75.0,7,0.773766
30.0,5,0.774644
-395.0,63,0.783453
35.0,6,0.784383
0.0,11,0.785934
-405.0,79,0.796719
-245.0,91,0.809322
10.0,7,0.810685
-165.0,31,0.815049
-235.0,59,0.823293
-495.0,148,0.845412
-110.0,15,0.847469
-80.0,6,0.848315
-5.0,16,0.850486
-255.0,34,0.855065
-540.0,118,0.870945
-85.0,5,0.871756
5.0,12,0.873505
-95.0,6,0.874376
-10.0,21,0.877322
-385.0,116,0.893229
-380.0,105,0.907736
-125.0,15,0.90976
-100.0,14,0.911655
-95.0,9,0.912906
175.0,44,0.918742
-80.0,6,0.919564
-230.0,27,0.923172
-5.0,7,0.924128
-215.0,42,0.929759
-75.0,4,0.930322
-155.0,24,0.933509
-210.0,113,0.948864
5.0,6,0.949757
-110.0,18,0.952215
-105.0,10,0.953613
-105.0,71,0.963328
